***  Récepteur: 1.17, Outil: 5.2.0.6, Mode: ORG, Freq: 2 Hz, GPS: Raid, Véhicule: 2, Course: 0, CHK: NOK  ***
Vitesse,NumTrace,Date,Heure,Mil,Latitude,Longitude
3,21,14/4/12,18:39:20,0,31x15.945S,64x18.156W
7,21,14/4/12,18:39:19,5,31x15.944S,64x18.156W
10,21,14/4/12,18:39:19,0,31x15.944S,64x18.156W
12,21,14/4/12,18:39:18,5,31x15.943S,64x18.155W
15,21,14/4/12,18:39:18,0,31x15.942S,64x18.155W
17,21,14/4/12,18:39:17,5,31x15.941S,64x18.154W
17,21,14/4/12,18:39:17,0,31x15.940S,64x18.153W
18,21,14/4/12,18:39:16,5,31x15.939S,64x18.153W
18,21,14/4/12,18:39:16,0,31x15.938S,64x18.153W
18,21,14/4/12,18:39:15,5,31x15.937S,64x18.151W
18,21,14/4/12,18:39:15,0,31x15.936S,64x18.150W
18,21,14/4/12,18:39:14,5,31x15.935S,64x18.149W
18,21,14/4/12,18:39:14,0,31x15.934S,64x18.149W
18,21,14/4/12,18:39:13,5,31x15.933S,64x18.148W
18,21,14/4/12,18:39:13,0,31x15.931S,64x18.147W
17,21,14/4/12,18:39:12,5,31x15.930S,64x18.147W
17,21,14/4/12,18:39:12,0,31x15.929S,64x18.146W
17,21,14/4/12,18:39:11,5,31x15.928S,64x18.145W
17,21,14/4/12,18:39:11,0,31x15.927S,64x18.144W
16,21,14/4/12,18:39:10,5,31x15.926S,64x18.144W
15,21,14/4/12,18:39:10,0,31x15.925S,64x18.143W
15,21,14/4/12,18:39:09,5,31x15.925S,64x18.142W
15,21,14/4/12,18:39:09,0,31x15.923S,64x18.142W
15,21,14/4/12,18:39:08,5,31x15.922S,64x18.142W
15,21,14/4/12,18:39:08,0,31x15.921S,64x18.142W
15,21,14/4/12,18:39:07,5,31x15.920S,64x18.142W
15,21,14/4/12,18:39:07,0,31x15.919S,64x18.142W
16,21,14/4/12,18:39:06,5,31x15.917S,64x18.143W
17,21,14/4/12,18:39:06,0,31x15.917S,64x18.143W
18,21,14/4/12,18:39:05,5,31x15.915S,64x18.144W
18,21,14/4/12,18:39:05,0,31x15.914S,64x18.145W
18,21,14/4/12,18:39:04,5,31x15.913S,64x18.146W
18,21,14/4/12,18:39:04,0,31x15.912S,64x18.147W
18,21,14/4/12,18:39:03,5,31x15.912S,64x18.149W
17,21,14/4/12,18:39:03,0,31x15.912S,64x18.150W
17,21,14/4/12,18:39:02,5,31x15.911S,64x18.153W
16,21,14/4/12,18:39:02,0,31x15.911S,64x18.153W
16,21,14/4/12,18:39:01,5,31x15.911S,64x18.155W
15,21,14/4/12,18:39:01,0,31x15.911S,64x18.156W
15,21,14/4/12,18:39:00,5,31x15.911S,64x18.158W
14,21,14/4/12,18:39:00,0,31x15.911S,64x18.159W
14,21,14/4/12,18:38:59,5,31x15.911S,64x18.160W
13,21,14/4/12,18:38:59,0,31x15.911S,64x18.161W
12,21,14/4/12,18:38:58,5,31x15.911S,64x18.162W
10,21,14/4/12,18:38:58,0,31x15.911S,64x18.163W
8,21,14/4/12,18:38:57,5,31x15.911S,64x18.164W
6,21,14/4/12,18:38:15,0,31x15.910S,64x18.164W
7,21,14/4/12,18:38:14,5,31x15.910S,64x18.163W
7,21,14/4/12,18:38:14,0,31x15.910S,64x18.163W
6,21,14/4/12,18:38:07,0,31x15.910S,64x18.159W
12,21,14/4/12,18:38:06,5,31x15.910S,64x18.160W
17,21,14/4/12,18:38:06,0,31x15.910S,64x18.161W
19,21,14/4/12,18:38:05,5,31x15.910S,64x18.163W
18,21,14/4/12,18:38:05,0,31x15.910S,64x18.165W
17,21,14/4/12,18:38:04,5,31x15.910S,64x18.166W
15,21,14/4/12,18:38:04,0,31x15.910S,64x18.169W
14,21,14/4/12,18:38:03,5,31x15.910S,64x18.169W
11,21,14/4/12,18:38:03,0,31x15.910S,64x18.170W
8,21,14/4/12,18:38:02,5,31x15.910S,64x18.171W
4,21,14/4/12,18:37:58,0,31x15.910S,64x18.173W
7,21,14/4/12,18:37:57,5,31x15.910S,64x18.173W
11,21,14/4/12,18:37:57,0,31x15.911S,64x18.174W
